[006 ms] Preparación: 0 | Tránsito: 0 | Entregados: 0 | Fallidos: 0 | Verificados: 0
[386 ms] Preparación: 2 | Tránsito: 0 | Entregados: 0 | Fallidos: 0 | Verificados: 4
[587 ms] Preparación: 2 | Tránsito: 0 | Entregados: 0 | Fallidos: 1 | Verificados: 7
[787 ms] Preparación: 3 | Tránsito: 0 | Entregados: 0 | Fallidos: 4 | Verificados: 9
[988 ms] Preparación: 3 | Tránsito: 0 | Entregados: 0 | Fallidos: 6 | Verificados: 11
[1188 ms] Preparación: 4 | Tránsito: 1 | Entregados: 0 | Fallidos: 7 | Verificados: 13
[1388 ms] Preparación: 2 | Tránsito: 0 | Entregados: 0 | Fallidos: 11 | Verificados: 15
[1589 ms] Preparación: 4 | Tránsito: 0 | Entregados: 0 | Fallidos: 11 | Verificados: 19
[1789 ms] Preparación: 4 | Tránsito: 0 | Entregados: 0 | Fallidos: 13 | Verificados: 22
[1991 ms] Preparación: 2 | Tránsito: 1 | Entregados: 0 | Fallidos: 13 | Verificados: 25
[2192 ms] Preparación: 3 | Tránsito: 1 | Entregados: 0 | Fallidos: 16 | Verificados: 28
[2392 ms] Preparación: 4 | Tránsito: 0 | Entregados: 0 | Fallidos: 18 | Verificados: 31
[2592 ms] Preparación: 2 | Tránsito: 0 | Entregados: 1 | Fallidos: 20 | Verificados: 33
[2793 ms] Preparación: 2 | Tránsito: 0 | Entregados: 0 | Fallidos: 22 | Verificados: 36
[2994 ms] Preparación: 3 | Tránsito: 0 | Entregados: 0 | Fallidos: 26 | Verificados: 36
[3194 ms] Preparación: 4 | Tránsito: 0 | Entregados: 0 | Fallidos: 26 | Verificados: 40
[3395 ms] Preparación: 2 | Tránsito: 1 | Entregados: 1 | Fallidos: 27 | Verificados: 43
[3596 ms] Preparación: 3 | Tránsito: 1 | Entregados: 0 | Fallidos: 29 | Verificados: 46
[3796 ms] Preparación: 3 | Tránsito: 1 | Entregados: 0 | Fallidos: 30 | Verificados: 49
[3997 ms] Preparación: 3 | Tránsito: 0 | Entregados: 1 | Fallidos: 30 | Verificados: 54
[4197 ms] Preparación: 3 | Tránsito: 0 | Entregados: 0 | Fallidos: 31 | Verificados: 58
[4398 ms] Preparación: 2 | Tránsito: 0 | Entregados: 0 | Fallidos: 34 | Verificados: 60
[4599 ms] Preparación: 4 | Tránsito: 0 | Entregados: 0 | Fallidos: 34 | Verificados: 64
[4799 ms] Preparación: 4 | Tránsito: 0 | Entregados: 0 | Fallidos: 36 | Verificados: 66
[5000 ms] Preparación: 2 | Tránsito: 0 | Entregados: 0 | Fallidos: 38 | Verificados: 68
[5201 ms] Preparación: 2 | Tránsito: 0 | Entregados: 0 | Fallidos: 39 | Verificados: 72
[5401 ms] Preparación: 3 | Tránsito: 0 | Entregados: 0 | Fallidos: 42 | Verificados: 73
[5602 ms] Preparación: 1 | Tránsito: 1 | Entregados: 0 | Fallidos: 43 | Verificados: 77
[5802 ms] Preparación: 1 | Tránsito: 0 | Entregados: 0 | Fallidos: 44 | Verificados: 81
[6003 ms] Preparación: 2 | Tránsito: 0 | Entregados: 0 | Fallidos: 44 | Verificados: 85
[6203 ms] Preparación: 2 | Tránsito: 0 | Entregados: 0 | Fallidos: 46 | Verificados: 87
[6404 ms] Preparación: 4 | Tránsito: 0 | Entregados: 0 | Fallidos: 46 | Verificados: 91
[6604 ms] Preparación: 2 | Tránsito: 0 | Entregados: 0 | Fallidos: 46 | Verificados: 95
[6805 ms] Preparación: 4 | Tránsito: 0 | Entregados: 0 | Fallidos: 48 | Verificados: 98
[7006 ms] Preparación: 4 | Tránsito: 0 | Entregados: 1 | Fallidos: 49 | Verificados: 100
[7206 ms] Preparación: 4 | Tránsito: 0 | Entregados: 0 | Fallidos: 49 | Verificados: 105
[7407 ms] Preparación: 5 | Tránsito: 0 | Entregados: 0 | Fallidos: 51 | Verificados: 107
[7608 ms] Preparación: 3 | Tránsito: 0 | Entregados: 0 | Fallidos: 53 | Verificados: 110
[7808 ms] Preparación: 4 | Tránsito: 0 | Entregados: 0 | Fallidos: 54 | Verificados: 113
[8009 ms] Preparación: 3 | Tránsito: 0 | Entregados: 0 | Fallidos: 57 | Verificados: 115
[8210 ms] Preparación: 2 | Tránsito: 0 | Entregados: 0 | Fallidos: 58 | Verificados: 118
[8410 ms] Preparación: 3 | Tránsito: 0 | Entregados: 0 | Fallidos: 60 | Verificados: 121
[8611 ms] Preparación: 3 | Tránsito: 0 | Entregados: 0 | Fallidos: 60 | Verificados: 125
[8812 ms] Preparación: 4 | Tránsito: 0 | Entregados: 0 | Fallidos: 62 | Verificados: 127
[9012 ms] Preparación: 2 | Tránsito: 0 | Entregados: 0 | Fallidos: 64 | Verificados: 130
[9213 ms] Preparación: 3 | Tránsito: 0 | Entregados: 0 | Fallidos: 65 | Verificados: 133
[9414 ms] Preparación: 3 | Tránsito: 0 | Entregados: 0 | Fallidos: 66 | Verificados: 136
[9615 ms] Preparación: 5 | Tránsito: 0 | Entregados: 0 | Fallidos: 67 | Verificados: 139
[9816 ms] Preparación: 4 | Tránsito: 0 | Entregados: 0 | Fallidos: 68 | Verificados: 143
[10017 ms] Preparación: 3 | Tránsito: 1 | Entregados: 0 | Fallidos: 68 | Verificados: 147
[10217 ms] Preparación: 3 | Tránsito: 0 | Entregados: 0 | Fallidos: 71 | Verificados: 149
[10417 ms] Preparación: 2 | Tránsito: 0 | Entregados: 0 | Fallidos: 73 | Verificados: 151
